"";"area"
"Farlowella.amazonum";182023
"Farlowella.knerii";170912
"Farlowella.nattereri";55459
"Farlowella.oxyrryncha";194832
"Farlowella.platorynchus";125163
"Farlowella.smithi";188014
"Galeocharax.gulo";150401
"Gasteropelecus.sternicla";267241
"Geophagus.megasema";63789
"Gephyrocharax.major";81385
"Gymnocorymbus.thayeri";262350
"Gymnorhamphichthys.rondoni";179958
"Helogenes.marmoratus";227990
"Hemibrycon.beni";5331
"Hemibrycon.helleri";25986
"Hemibrycon.huambonicus";49782
"Hemibrycon.inambari";2021
"Hemibrycon.jelskii";91925
"Hemibrycon.orcesi";32275
"Hemibrycon.polyodon";32473
"Hemidoras.stenopeltis";51156
"Hemigrammus.coeruleus";139792
"Hemigrammus.levis";89082
"Hemigrammus.lunatus";213719
"Hemigrammus.melanochrous";69850
"Hemigrammus.neptunus";116011
"Hemigrammus.ocellifer";280343
"Hemigrammus.unilineatus";134573
"Hemigrammus.vorderwinkleri";160329
"Hemiodontichthys.acipenserinus";163751
"Hemiodus.microlepis";132565
"Hemisorubim.platyrhynchos";195446
"Henonemus.punctatus";122904
"Heros.spurius";55119
"Hoplias.malabaricus";341483
"Hydrolycus.scomberoides";158464
"Hyphessobrycon.agulha";237500
"Hyphessobrycon.bentosi";259435
"Hyphessobrycon.copelandi";254765
"Hyphessobrycon.diancistrus";53498
"Hyphessobrycon.eques";91431
"Hyphessobrycon.heterorhabdus";174939
"Hyphessobrycon.megalopterus";110651
"Hyphessobrycon.rosaceus";187022
"Hyphessobrycon.sweglesi";150623
"Hyphessobrycon.tenuis";14594
"Hypoptopoma.baileyi";52454
"Hypoptopoma.incognitum";99771
"Hypoptopoma.thoracatum";126369
"Hypopygus.lepturus";228799
"Hypostomus.bolivianus";47513
"Hypostomus.ericius";71782
"Hypostomus.levis";1949
"Hypostomus.niceforoi";54298
"Hypostomus.oculeus";130575
"Hypostomus.pantherinus";57514
"Hypostomus.pyrineusi";169278
"Hypselecara.temporalis";231757
"Iguanodectes.spilurus";234812
"Imparfinis.cochabambae";56825
"Imparfinis.guttatus";52976
"Imparfinis.nemacheir";38329
"Imparfinis.stictonotus";161925
"Ituglanis.amazonicus";208022
"Jupiaba.asymmetrica";143239
"Knodus.breviceps";146512
"Knodus.delta";150480
"Knodus.gamma";68898
"Knodus.heteresthes";79813
"Knodus.hypopterus";60344
"Knodus.megalops";75024
"Knodus.mizquae";259735
"Knodus.moenkhausii";172709
"Knodus.orteguasae";135422
"Knodus.septentrionalis";78552
"Knodus.smithi";169756
"Knodus.victoriae";28515
"Laemolyta.taeniata";100739
"Laetacara.curviceps";23206
"Laetacara.dorsigera";71818
"Laetacara.flavilabris";154340
"Lamontichthys.stibaros";57377
"Lasiancistrus.schomburgkii";164873
"Lebiasina.bimaculata";88808
"Lebiasina.elongata";49080
"Lepidosiren.paradoxa";87283
"Leporellus.vittatus";203707
"Leporinus.cylindriformis";142340
"Leporinus.desmotes";113530
"Leporinus.fasciatus";163855
"Leporinus.friderici";286619
"Leporinus.pearsoni";216018
"Leporinus.striatus";90020
"Leporinus.subniger";122218
"Leporinus.trifasciatus";104179
"Leptagoniates.steindachneri";98981
"Lepthoplosternum.beni";253682
"Leptodoras.linnelli";134554
"Loricaria.cataphracta";116698
"Loricaria.simillima";104730
"Loricariichthys.platymetopon";114931
"Loricariichthys.stuebelii";118344
"Megalechis.picta";150469
"Megalechis.thoracata";171556
"Megalodoras.uranoscopus";73956
"Megalonema.amaxanthum";46580
"Mesonauta.festivus";148223
"Metynnis.maculatus";75718
"Microschemobrycon.guaporensis";109312
"Microschemobrycon.melanotus";27155
"Microsternarchus.bilineatus";134913
"Moenkhausia.bonita";77788
"Moenkhausia.ceros";108967
"Moenkhausia.chrysargyrea";269133
